=== Delete Benchmarks (3 impls, dense+moderate, GoSet+RoaringSet sparse+extreme, benchtime=10x) ===
BenchmarkDelete/BitArraySet/moderate/contiguous/n=100000-16       	       1	    174380 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/moderate/random/n=100000-16                 	       1	   2309366 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/moderate/random/n=100000-16            	       1	   6324532 ns/op	  123240 B/op	      30 allocs/op
BenchmarkDelete/BitArraySet/moderate/random/n=100000-16           	       1	    142358 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/sparse/contiguous/n=100000-16               	       1	   2167468 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/sparse/contiguous/n=100000-16          	       1	   2360741 ns/op	   16472 B/op	       6 allocs/op
BenchmarkDelete/BitArraySet/sparse/contiguous/n=100000-16         	       1	    171164 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/sparse/random/n=100000-16                   	       1	   2193328 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/sparse/random/n=100000-16              	       1	   7786260 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/BitArraySet/sparse/random/n=100000-16             	       1	    507556 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/extreme/contiguous/n=100000-16              	       1	   2139175 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/extreme/contiguous/n=100000-16         	       1	   2378724 ns/op	   16472 B/op	       6 allocs/op
BenchmarkDelete/GoSet/extreme/random/n=100000-16                  	       1	   2209272 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/extreme/random/n=100000-16             	       1	 323785009 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/dense/contiguous/n=1000000-16               	       1	  57408494 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/dense/contiguous/n=1000000-16          	       1	  16123708 ns/op	    8704 B/op	      32 allocs/op
BenchmarkDelete/BitArraySet/dense/contiguous/n=1000000-16         	       1	   1748023 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/GoSet/dense/random/n=1000000-16                   	       1	  55240303 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/RoaringSet/dense/random/n=1000000-16              	       1	  55397612 ns/op	68818832 B/op	   30964 allocs/op
