goos: linux
goarch: amd64
pkg: map_benchmarking
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkBuild/GoSet/dense/random/n=1000000-16                   	      12	  87748029 ns/op	38878520 B/op	    8195 allocs/op
BenchmarkBuild/RoaringSet/dense/random/n=1000000-16              	      36	  32817996 ns/op	  532256 B/op	     296 allocs/op
BenchmarkBuild/GoSet/moderate/contiguous/n=1000000-16            	      13	  87030670 ns/op	38883776 B/op	    8196 allocs/op
BenchmarkBuild/RoaringSet/moderate/contiguous/n=1000000-16       	     123	   9780686 ns/op	  532226 B/op	     294 allocs/op
BenchmarkBuild/GoSet/moderate/random/n=1000000-16                	      12	  89328549 ns/op	38864282 B/op	    8192 allocs/op
BenchmarkBuild/RoaringSet/moderate/random/n=1000000-16           	       9	 120672344 ns/op	 5082228 B/op	    2468 allocs/op
BenchmarkBuild/GoSet/sparse/contiguous/n=1000000-16              	      13	  87108566 ns/op	38857449 B/op	    8191 allocs/op
BenchmarkBuild/RoaringSet/sparse/contiguous/n=1000000-16         	     100	  10023146 ns/op	  532224 B/op	     294 allocs/op
BenchmarkBuild/GoSet/sparse/random/n=1000000-16                  	      13	  85931052 ns/op	38882297 B/op	    8196 allocs/op
BenchmarkBuild/RoaringSet/sparse/random/n=1000000-16             	       6	 219344566 ns/op	 7459096 B/op	   99146 allocs/op
BenchmarkBuild/GoSet/extreme/contiguous/n=1000000-16             	      13	  86373421 ns/op	38894011 B/op	    8199 allocs/op
BenchmarkBuild/RoaringSet/extreme/contiguous/n=1000000-16        	     122	   9489055 ns/op	  539409 B/op	     310 allocs/op
BenchmarkBuild/GoSet/extreme/random/n=1000000-16                 	      12	  88722478 ns/op	38875380 B/op	    8195 allocs/op
BenchmarkBuild/RoaringSet/extreme/random/n=1000000-16            	       2	 572449918 ns/op	13110912 B/op	  283765 allocs/op
BenchmarkLookupHit/GoSet/dense/contiguous/n=1000-16              	137189443	         8.008 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/dense/contiguous/n=1000-16         	52959686	        19.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/dense/random/n=1000-16                  	126566115	         9.776 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/dense/random/n=1000-16             	43410114	        25.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/moderate/contiguous/n=1000-16           	151037684	         7.666 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/moderate/contiguous/n=1000-16      	64704711	        18.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/moderate/random/n=1000-16               	135841828	         7.641 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/moderate/random/n=1000-16          	46169514	        24.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/sparse/contiguous/n=1000-16             	143714187	         8.238 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/sparse/contiguous/n=1000-16        	58370797	        19.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/sparse/random/n=1000-16                 	137902309	         8.154 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/sparse/random/n=1000-16            	69559804	        16.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/extreme/contiguous/n=1000-16            	133262836	        11.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/extreme/contiguous/n=1000-16       	48965685	        23.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/extreme/random/n=1000-16                	117721992	        12.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/extreme/random/n=1000-16           	21442560	        53.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/dense/contiguous/n=10000-16             	92962915	        11.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/dense/contiguous/n=10000-16        	165857337	         7.417 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/dense/random/n=10000-16                 	104031044	        11.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/dense/random/n=10000-16            	161590123	         7.289 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/moderate/contiguous/n=10000-16          	100000000	        11.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/moderate/contiguous/n=10000-16     	155957269	         7.985 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/moderate/random/n=10000-16              	95814273	        11.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/moderate/random/n=10000-16         	35420444	        33.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/sparse/contiguous/n=10000-16            	92006131	        11.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/sparse/contiguous/n=10000-16       	83645457	        14.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/sparse/random/n=10000-16                	98397465	        12.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/sparse/random/n=10000-16           	12617079	        90.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/extreme/contiguous/n=10000-16           	102687259	        10.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/extreme/contiguous/n=10000-16      	189830547	         5.972 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/extreme/random/n=10000-16               	123250780	        10.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/extreme/random/n=10000-16          	13902745	        84.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/dense/contiguous/n=100000-16            	86045918	        13.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/dense/contiguous/n=100000-16       	133184949	         9.640 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/dense/random/n=100000-16                	72717810	        15.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/dense/random/n=100000-16           	78108202	        14.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/moderate/contiguous/n=100000-16         	88459029	        13.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/moderate/contiguous/n=100000-16    	100000000	        10.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/moderate/random/n=100000-16             	84297946	        14.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/moderate/random/n=100000-16        	46559215	        23.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/sparse/contiguous/n=100000-16           	95647383	        12.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/sparse/contiguous/n=100000-16      	132754575	         8.813 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/sparse/random/n=100000-16               	78043176	        13.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/sparse/random/n=100000-16          	12138410	        99.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/extreme/contiguous/n=100000-16          	88212663	        12.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/extreme/contiguous/n=100000-16     	143310111	         8.413 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/extreme/random/n=100000-16              	91731631	        11.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/extreme/random/n=100000-16         	 9758595	       125.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/dense/contiguous/n=1000000-16           	23160602	        45.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/dense/contiguous/n=1000000-16      	71342556	        14.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/dense/random/n=1000000-16               	21319268	        47.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/dense/random/n=1000000-16          	46176310	        26.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/moderate/contiguous/n=1000000-16        	21652225	        49.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/moderate/contiguous/n=1000000-16   	83748750	        14.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/moderate/random/n=1000000-16            	26392224	        45.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/moderate/random/n=1000000-16       	26577879	        46.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/sparse/contiguous/n=1000000-16          	23186625	        49.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/RoaringSet/sparse/contiguous/n=1000000-16     	81361993	        13.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHit/GoSet/sparse/random/n=1000000-16              	24364300	        53.96 ns/op	       0 B/op	       0 allocs/op
