goos: linux
goarch: amd64
pkg: nextgen
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkConcurrentMapMixedRatios/90Read10Write/SyncMap/n=5000-16                                 	99861109	        20.40 ns/op	       7 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/LockedBuiltinMap/n=5000-16                        	13858615	        83.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/LockedShardedBuiltinMap/shards=32/n=5000-16       	 9401980	       118.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/SyncMap/n=5000-16                                 	64800414	        23.15 ns/op	      14 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/LockedBuiltinMap/n=5000-16                        	 8511109	       119.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/LockedShardedBuiltinMap/shards=32/n=5000-16       	10563576	       115.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/SyncMap/n=5000-16                                 	36356655	        36.23 ns/op	      35 B/op	       1 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/LockedBuiltinMap/n=50000-16                        	 8941936	       128.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/LockedShardedBuiltinMap/shards=32/n=50000-16       	17843878	        57.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/99Read1Write/SyncMap/n=50000-16                                 	101608460	        11.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/95Read5Write/LockedBuiltinMap/n=50000-16                        	13190096	        88.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/95Read5Write/LockedShardedBuiltinMap/shards=32/n=50000-16       	20423418	        73.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/95Read5Write/SyncMap/n=50000-16                                 	86896320	        15.03 ns/op	       3 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/90Read10Write/LockedBuiltinMap/n=50000-16                       	11327902	       103.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/90Read10Write/LockedShardedBuiltinMap/shards=32/n=50000-16      	 7307132	       139.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/90Read10Write/SyncMap/n=50000-16                                	81720404	        14.54 ns/op	       7 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/LockedBuiltinMap/n=50000-16                       	11537334	       116.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/LockedShardedBuiltinMap/shards=32/n=50000-16      	11730618	        93.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/80Read20Write/SyncMap/n=50000-16                                	21970514	        51.52 ns/op	      14 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/LockedBuiltinMap/n=50000-16                       	10676828	       106.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/LockedShardedBuiltinMap/shards=32/n=50000-16      	11570793	       116.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapMixedRatios/50Read50Write/SyncMap/n=50000-16                                	36451237	        55.41 ns/op	      35 B/op	       1 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=500/shards=1-16                           	14354922	        79.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=500/shards=4-16                           	10145911	       121.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=500/shards=16-16                          	13663806	        91.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=500/shards=32-16                          	12717489	       101.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=500/shards=64-16                          	23811567	        50.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=5000/shards=1-16                          	10580842	       107.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=5000/shards=4-16                          	 8838744	       141.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=5000/shards=16-16                         	12789186	        84.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=5000/shards=32-16                         	20544742	        63.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=5000/shards=64-16                         	25533632	        49.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=50000/shards=1-16                         	 9039354	       136.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=50000/shards=4-16                         	 6973056	       166.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=50000/shards=16-16                        	14121698	        85.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=50000/shards=32-16                        	17974936	        64.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockedShardedMapShardSweepMixed90Read10Write/n=50000/shards=64-16                        	21702175	        51.39 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	nextgen	129.041s
